Checked,Status,id,label,Alternate title,Corporate Name,Personal Name,Place of Publication or Production,Publisher Name,Date of Publication or Production,Extent,Dimensions,Language,Notes,Narrative Summary,Keyword,Subject,Genre,Format,Rights Statement,Library Call Number,Link,Identifier
TRUE,,CSL00001,Chicano Classification System,CCS,"University of California, Berkeley. Chicano Studies Library","Arce, José Antonio, 1948-2018","Berkeley, California",,approximately 1972-2001,450 pages,8.5 x 11 inches,English,"Includes several insertions and manuscript annotations|Single-sided, with occasional scrap paper content on versos.","Chicano Classification System, first draft, July 1974 by José Antonio Arce, with subsequent additions through approximately 2001. The system is based in part on the Library of Congress Classification System, with specialized expansions and adaptations for use in the Chicano Studies Library.",Access tools|Classification,Chicano Classification System,Classification schemes,integrating resource|typescript|text,,,,
TRUE,,CSL00002,Prospectus for a Chicano Periodical Index Project,,"University of California, Berkeley. Chicano Studies Library","Chabrán, Richard","Berkeley, California",,1978,13 pages,8.5 x 11 inches,English,Incomplete.,"Budget and project timetable from a prospectus for the Chicano Periodical Index Project, prepared by Richard Chabrán, January 1978.",Chicano Periodical Index|Access tools,Chicano Periodical Indexing Project,Proposals|Records (Documents),text,,,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991021951939706532,
TRUE,,CSL00003,Chicano Studies Library Serials Collection Advertisement,CSL Serials Collection Advertisement,"University of California, Berkeley. Chicano Studies Library",,"Berkeley, California",,between 1989 and 1992?,3 pages,8.5 x 11 inches,English,,"Contents list for section 9, and price list for microfilm sections 1-11, of the Chicano Studies Library Serials Collection; section 12 is listed as forthcoming, December 1992.",Serials,Chicano serials collection,Advertisements,text,,,,
TRUE,only title page digitized; update if rest is added,CSL00004,Chicanas in the 80's: Unsettled Issues (title page),Chicanas in the 1980s|Unsettled Issues,"Mujeres en Marcha (Club)|NACS Conference (11th : 1982 : Tempe, Ariz.) ","Córdova, Teresa|Cuádraz, Gloria|Decierdo, Margarita Arce|González, Deena J., 1952-","Berkeley, California",Chicano Studies Library Publications Unit,1982,1 page,8.5 x 5.5 inches,English,Title page only,"Title page from the published volume of proceedings from the NACS conference, including transcripts of talks by panel speakers and moderators Teresa Córdova, Gloria Cuádraz, Margarita Decierdo, and Deena González.",Chicanas,Chicanas,Conference papers and proceedings,publication|extract|text,,HQ1384 .C6,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991008909099706532,
TRUE,,CSL00005,Plan for the Development of the Chicano Database,,"University of California, Berkeley. Chicano Studies Library",,"Berkeley, California",,1993,1 page,8.5 x 11 inches,English,Adhesive note with pencil notes attached,Outline of plans and steps for the development of the Chicano database. ,Chicano database,Chicano database,Records (Documents),typescript|text,,,,
TRUE,,CSL00006,Nightly Backup Procedure,,"University of California, Berkeley. Chicano Studies Library","Castillo-Speed, Lillian","Berkeley, California",,1984,1 page,8.5 x 11 inches,English,"Dated December 7, 1984, with additional manuscript notes including one dated July 13, 1987.",Procedure document containing instructions for nightly backup of database files.,Chicano database|Technologies,,Procedures (Documents),typescript|manuscript|text,,,,
TRUE,,CSL00007,Job Vacancy Listing: Chicano Studies Library Coordinator,,"University of California, Berkeley. Chicano Studies Library","Gonzalez, Lila, 1929-2013|Armada, Dolores","Berkeley, California",,1975,3 pages,8.5 x 11 inches,English,,"Job vacancy listing and job description for the Library Coordinator position at the Chicano Studies Library, reporting to supervisor Lila Gonzalez.",Staffing|History,"University of California, Berkeley. Chicano Studies Library",Records (Documents),typescript|form|text,,,,
TRUE,,CSL00008,Goals of the Ethnic Studies Libraries,,"University of California, Berkeley. Ethnic Studies Library|University of California, Berkeley. Department of Ethnic Studies",,"Berkeley, California",,1993,1 page,8.5 x 11 inches,English,,"Goals of the Ethnic Studies Libraries, as adopted by the Ethnic Studies Department, May 13, 1993, including goals and objectives for relocation and merger of the Asian American Studies Library, the Chicano Studies Library, and the Native American Studies Library.",History,"University of California, Berkeley. Ethnic Studies Library",Records (Documents),typescript|text,,,,
TRUE,,CSL00009,Chicano Studies Library Donor Reception Invitation,CSL Donor Reception Invitation,"University of California, Berkeley. Chicano Studies Library|Casa Joaquin Murrieta (Berkeley, Calif.)","Castillo-Speed, Lillian|Garza, Luis Alberto de la|Silva, Benicio|Ortiz, Maria","Berkeley, California",,1993,2 pages,8.5 x 11 inches,English,On letterhead for the Chicano Studies Library.,"Invitation and program for a Chicano Studies Library donor reception, recognition ceremony, and dinner. The event was held April 23, 1993 at Casa Joaquin Murrieta, and sponsored by the Chicano Studies Library and the Casa Joaquin Murrieta, and speakers included Benicio Silva, Luis de la Garza, Lillian Castillo-Speed, Maria Ortiz, and several others.",History|Acknowledgements|Events,"University of California, Berkeley. Chicano Studies Library|Benefactors",Invitations|Programs (Publications),typescript|text,,,,
TRUE,,CSL00010,Undocumented Scars Exhibit Publicity Mailer,,"University of California, Berkeley. Chicano Studies Library|Sociedad Locura Artística del Barrio","Castillo-Speed, Lillian","Berkeley, California",,1993,2 pages,7 x 10 inches,English|Spanish,,"Announcement of an exhibit and reception of contemporary Raza art featuring the artists' group Sociedad Locura Artística del Barrio (SLAB). The exhibit was held in the Chicano STudies Library, April 20 through May 31, 1992, and the reception was held at the Unitas Christian Fellowship, May 6. 1993. Artists includeed Viviana N. Arellano, Alexandro Cbarrubias, Eduardo Espinoza, Ernesto Espinoza, Ramon Ramirez, and Manuel ""Chato"" Salazar. The announcement also gives thanks to Lillian Castillo-Speed and the Chicano Studies Library.",History|Art|Events|Exhibits|Acknowledgements,Exhibits|Chicano art,Advertisements,text|image,,,,
TRUE,,CSL00011,"Staff Meeting Minutes, March 3, 1989",,"University of California, Berkeley. Chicano Studies Library","Castillo-Speed, Lillian","Berkeley, California",,1989,4 pages,8.5 x 11 inches,English,,"Meeting minutes from a staff meeting held March 3, 1989, and run by Lillian Castillo-Speed with six other staff members present.",Staffing,"University of California, Berkeley. Chicano Studies Library",Records (Documents),typescript|text,,,,
TRUE,Duplicate: CSL00091,CSL00012,"Letter from Wilma Salvatori Torri, September 10, 1974",,"University of California, Berkeley. Chicano Studies Library","Torri, Wilma Salvatori","Torino, Italy",,1974,2 pages,8.5 x 11 inches,English,,"Letter of thanks from Wilma Salvatori Torri, an Italian student who used the Chicano Studies Library for her thesis research.",Acknowledgements,"University of California, Berkeley. Chicano Studies Library",Letters,typescript|text,,,,
TRUE,,CSL00013,"CU News. (Volume 48, Number 22, June 10, 1993)",Weekly Newsletter of the Library,"University of California, Berkeley. Library",,"Berkeley, California",,1993,2 pages,8.5 x 11 inches,English,,"June 10, 1993 isue of the weekly newsletter of the U.C. Berkeley Library. The issue announces a reference tour of the Chicano Studies Library, a position announcement for the Native American Studies Library, and other library events.",History|Events,"University of California, Berkeley. Chicano Studies Library",Newsletters,text,,,,
TRUE,,CSL00014,"Letter from Lea Burroughs, October 30, 1995",,,"Burroughs, Lea|Castillo-Speed, Lillian","San Fransisco, California",,1995,1 page,8.5 x 11 inches,English,,"Letter from Lea Burroughs, a writer and librarian in San Francisco to Lillian Castillo-Speed, expressing thanks to the Chicano Studies Library. ",Acknowledgements,,Letters,text|typescript,,,,
TRUE,,CSL00015,Mexican Amerian Biographies (Acknowledgements),,,"Meier, Matt S.","New York, New York",Greenwood Press,1988,3 pages,8.5 x 11 inches,English,,"Extract of acknowledgements from the volume, which mention the Chicano Studies Library. Also includes the title page and table of contents.",Acknowledgements,,,text|extract|publication,,CT268 .M3,https://search.library.berkeley.edu/permalink/01UCS_BER/s4lks2/cdi_proquest_miscellaneous_59465410,
TRUE,,CSL00016,"Letter from Sherry Levy-Reiner, July 1, 1991",,Association of American Colleges,"Levy-Reiner, Sherry|Castillo-Speed, Lillian","Washington, D.C.",,1991,1 page,8.5 x 11 inches,English,,"Letter from Sherry Levy-Reiner, Director of Public Information and Publications at the Association of American Colleges, thanking her for research assistance and sending a copy of an AAC publication which cites the Chicano Database.",Acknowledgements,Chicano database,Letters,text|typescript,,,,
TRUE,,CSL00017,"Letters to and from Alexandr Vaschenko, 1997 and 1998",,,"Vashchenko, A. (Aleksandr)|Castillo-Speed, Lillian","Moscow, Russia|Berkeley, California",,1987|1988,6 pages,8.5 x 11 inches,English,,"A letter from Lillian Castillo-Speed to Aleksandr Vashchenko, at the A.M. Gorky Institute of World Literature, Moscow, U.S.S.R., sending six books on Chicano literature, and his reply, thanking Lillian for the books and for his visit to the library. Also includes the envelope and a copy of his CV. ",Acknowledgements,"University of California, Berkeley. Chicano Studies Library",Letters,text|typescript,,,,
TRUE,,CSL00018,Chicana Feminist Thought (Acknowledgements),,,"Garcia, Alma M.","New York, New York",Routledge,1997,3 pages,8.5 x 11 inches,English,,"Extract of acknowledgements from the volume, edited by Alma M. Garcia, mentioning Lillian Castillo-Speed and the Chicano Studies Library.",Acknowledgements,"University of California, Berkeley. Chicano Studies Library|Chicanas",,text|extract|publication,,HQ1101 .C654 1997,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991034182399706532,
TRUE,,CSL00019,Chicano Studies Library Operation/Projects & Staff Assignments,,"University of California, Berkeley. Chicano Studies Library","Arce, José Antonio, 1948-2018","Berkeley, California",,1975,1 page,8.5 x 11 inches,English,,"Organization chart from summer 1975, for the Chicano Studies Library including department and staff names. ",Staffing|History,"University of California, Berkeley. Chicano Studies Library",Organizational charts,text,,,,
TRUE,,CSL00020,Ernesto Galarza at U.C. Berkeley Flier,The Role of Chicano Graduate Students in Research,"University of California, Berkeley. Chicano Studies Library","Galarza, Ernesto, 1905-1984","Berkeley, California",,1977,1 page,8.5 x 11 inches,English,Transcript of the lecture available at the link.,"Advertisement for a lecture by Ernesto Galarza titled ""The Role of Chicano Graduate Students in Research"" on April 20, 1977 in the Student Union, followed by a reception hosted by the Chicano Studies Library.",Events,Chicano students,Advertisements,text,,,https://libraries.ucsd.edu/farmworkermovement/essays/essays/Ernesto%20Galarza.pdf,
TRUE,,CSL00021,"Imaging Aztlan, Galeria de la Raza Postcard",,"Galería de la Raza (San Francisco, Calif.)",,"San Fransisco, California",,1998,1 page,4 x 6 inches,English|Spanish,,"Postcard for exhibit titled ""Imaging Aztlán"" that was held at Galería de la Raza, San Francisco, California, February 3 to March 14, 1998.",Events|Exhibits,Chicano art,Advertisements|Postcards,text,,,,
TRUE,,CSL00022,Aspectos de la Literatura Chicana,Aspects of Chicano Literature,"University of California, Berkeley. Chicano Studies Library","Treviño, Oscar|Chabrán, Richard|Ybarra-Frausto, Tomás, 1938-","Berkeley, California","Chicano Studies Library, University of California",1979,14 pages,8.5 x 11 inches,English|Spanish,,"Bilingual exhibit catalog for an exhibit of Chicano literature. The exhibit was prepared by Richard Chabrán and Oscar Treviño, and the catalog was designed by Oscar Treviño. The introduction was written by Tomás Ybarra-Frausto.",Literature|Exhibits,Chicano literature,Exhibition catalogs,text,,, https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991029598169706532,
TRUE,,CSL00023,Chicano Periodical Index Worksheet,,"University of California, Berkeley. Chicano Studies Library",,"Berkeley, California",,1978?,1 page,8.5 x 11 inches,English,,A blank template for creating entries in the Chicano Periodical Index.,,Chicano Periodical Indexing Project,Blank forms,text,,,,
TRUE,,CSL00024,"Stephens Hall Space Meeting, November 21, 1994",,"University of California, Berkeley. Chicano Studies Library","Castillo-Speed, Lillian","Berkeley, California",,1994,2 pages,8.5 x 11 inches,English,,Meeting minutes regarding planning for space for the merged Ethnic Studies Library in Stephens Hall,History,"University of California, Berkeley. Ethnic Studies Library",Meeting minutes,text,,,,
TRUE,,CSL00025,"Ground Floor, Stephens Hall: Floor Plan, Revised Jan. 1",,"University of California, Berkeley. Ethnic Studies Library|University of California, Berkeley. Capital Projects",,"Berkeley, California",,1996?,1 page,8.5 x 11 inches,English,,"Floor plan for the Ethnic Studies Library in Stephens Hall. Stacks, offices, and other functional library spaces indicated in pencil.",History,"University of California, Berkeley. Ethnic Studies Library",Architectural drawings,image,,,,
TRUE,,CSL00026,"Letter to Nevil Leimanis, February 7, 1996",,"University of California, Berkeley. Ethnic Studies Library|University of California, Berkeley. Capital Projects","Castillo-Speed, Lillian|Poon, Wei Chi||Young, Mary L.|Leimanis, Nevil","Berkeley, California",,1996,1 page,8.5 x 11 inches,English,,"Letter from Lillian Castillo-Speed, Mary L. Young, and Wei Chi Poon, the heads of the three collections in the Ethnic Studies Library, to Nevil Leimanis, the project manager for renovation of Stephens Hall, regarding specifics of renovations to the library space.",History,"University of California, Berkeley. Ethnic Studies Library",Letters,text,,,,
